"subject";"log_concentration";"intensity";"AFC"
"S002";-1.82390874094432;2;0
"S005";-1.82390874094432;3;1
"S008";-1.82390874094432;5;0
"S009";-1.82390874094432;8;1
"S012";-1.82390874094432;4;0
"S013";-1.82390874094432;7;1
"S014";-1.82390874094432;3;0
"S015";-1.82390874094432;6;1
"S021";-1.82390874094432;1;1
"S023";-1.82390874094432;1;1
"S026";-1.82390874094432;2;0
"S028";-1.82390874094432;2;0
"S030";-1.82390874094432;6;0
"S038";-1.82390874094432;6;0
"S040";-1.82390874094432;1;0
"S046";-1.82390874094432;4;0
"S049";-1.82390874094432;1;1
"S051";-1.82390874094432;1;1
"S052";-1.82390874094432;2;0
"S054";-1.82390874094432;3;1
"S058";-1.82390874094432;3;1
"S059";-1.82390874094432;4;0
"S061";-1.82390874094432;5;1
"S064";-1.82390874094432;4;1
"S069";-1.82390874094432;2;0
"S072";-1.82390874094432;1;0
"S079";-1.82390874094432;2;1
"S080";-1.82390874094432;1;1
"S087";-1.82390874094432;3;0
"S090";-1.82390874094432;1;0
"S099";-1.82390874094432;8;1
"S102";-1.82390874094432;2;0
"S104";-1.82390874094432;3;1
"S112";-1.82390874094432;5;1
"S115";-1.82390874094432;4;0
"S121";-1.82390874094432;3;0
"S122";-1.82390874094432;2;0
"S126";-1.82390874094432;2;0
"S127";-1.82390874094432;6;1
"S129";-1.82390874094432;2;1
"S132";-1.82390874094432;2;0
"S134";-1.82390874094432;4;1
"S135";-1.82390874094432;3;0
"S137";-1.82390874094432;1;1
"S139";-1.82390874094432;2;0
"S143";-1.82390874094432;2;1
"S150";-1.82390874094432;2;0
"S152";-1.82390874094432;3;0
"S154";-1.82390874094432;7;0
"S155";-1.82390874094432;4;1
"S156";-1.82390874094432;3;0
"S160";-1.82390874094432;1;0
"S169";-1.82390874094432;4;0
"S171";-1.82390874094432;0;0
"S172";-1.82390874094432;6;0
"S175";-1.82390874094432;2;0
"S176";-1.82390874094432;4;0
"S177";-1.82390874094432;2;1
"S179";-1.82390874094432;6;0
"S181";-1.82390874094432;2;0
"S182";-1.82390874094432;3;1
"S186";-1.82390874094432;1;0
"S190";-1.82390874094432;2;0
"S193";-1.82390874094432;3;1
"S018";-1.82390874094432;6;0
"S075";-1.82390874094432;4;0
"S084";-1.82390874094432;6;1
"S106";-1.82390874094432;3;0
"S109";-1.82390874094432;6;1
"S056";-1.82390874094432;6;0
"S065";-1.82390874094432;5;1
"S020";-1.82390874094432;3;0
"S025";-1.82390874094432;6;0
"S027";-1.82390874094432;3;1
"S035";-1.82390874094432;3;1
"S043";-1.82390874094432;1;0
"S045";-1.82390874094432;3;1
"S055";-1.82390874094432;4;1
"S078";-1.82390874094432;6;0
"S085";-1.82390874094432;6;0
"S092";-1.82390874094432;0;0
"S118";-1.82390874094432;6;1
"S128";-1.82390874094432;6;0
"S144";-1.82390874094432;4;0
"S191";-1.82390874094432;1;0
"S019";-1.82390874094432;7;0
"S022";-1.82390874094432;4;0
"S037";-1.82390874094432;2;0
"S039";-1.82390874094432;4;0
"S057";-1.82390874094432;3;1
"S060";-1.82390874094432;2;0
"S071";-1.82390874094432;2;0
"S073";-1.82390874094432;0;0
"S076";-1.82390874094432;3;0
"S088";-1.82390874094432;3;1
"S093";-1.82390874094432;6;0
"S101";-1.82390874094432;2;1
"S119";-1.82390874094432;0;0
"S120";-1.82390874094432;1;0
"S123";-1.82390874094432;2;1
"S125";-1.82390874094432;4;1
"S130";-1.82390874094432;3;0
"S147";-1.82390874094432;4;0
"S148";-1.82390874094432;8;1
"S153";-1.82390874094432;1;0
"S168";-1.82390874094432;3;1
"S184";-1.82390874094432;2;0
"S185";-1.82390874094432;0;0
"S074";-1.82390874094432;5;1
"S110";-1.82390874094432;2;1
"S165";-1.82390874094432;2;1
"S041";-1.82390874094432;0;0
"S053";-1.82390874094432;4;0
"S161";-1.82390874094432;1;0
"S174";-1.82390874094432;2;0
"S068";-1.82390874094432;5;0
"S166";-1.82390874094432;4;1
"S063";-1.82390874094432;3;0
"S004";-1.82390874094432;6;0
"S094";-1.82390874094432;0;1
"S105";-1.82390874094432;6;1
"S117";-1.82390874094432;1;1
"S146";-1.82390874094432;0;0
"S163";-1.82390874094432;2;0
"S024";-1.82390874094432;1;1
"S036";-1.82390874094432;0;0
"S044";-1.82390874094432;4;1
"S047";-1.82390874094432;4;1
"S048";-1.82390874094432;1;1
"S086";-1.82390874094432;1;0
"S095";-1.82390874094432;2;0
"S100";-1.82390874094432;4;1
"S138";-1.82390874094432;2;0
"S141";-1.82390874094432;4;0
"S158";-1.82390874094432;1;0
"S159";-1.82390874094432;4;0
"S187";-1.82390874094432;4;0
"S070";-1.82390874094432;2;0
"S083";-1.82390874094432;3;1
"S096";-1.82390874094432;7;0
"S108";-1.82390874094432;3;1
"S164";-1.82390874094432;0;0
"S178";-1.82390874094432;3;0
"S189";-1.82390874094432;1;0
"S194";-1.82390874094432;5;0
"S006";-1.82390874094432;2;0
"S145";-1.82390874094432;1;0
"S188";-1.82390874094432;0;0
"S032";-1.82390874094432;7;0
"S066";-1.82390874094432;4;0
"S029";-1.82390874094432;3;0
"S062";-1.82390874094432;1;0
"S133";-1.82390874094432;2;1
"S136";-1.82390874094432;4;0
"S149";-1.82390874094432;2;0
"S162";-1.82390874094432;8;1
"S173";-1.82390874094432;1;0
"S011";-1.82390874094432;3;0
"S034";-1.82390874094432;3;1
"S042";-1.82390874094432;3;0
"S081";-1.82390874094432;7;0
"S091";-1.82390874094432;2;1
"S170";-1.82390874094432;1;1
"S192";-1.82390874094432;4;0
"S007";-1.82390874094432;6;0
"S016";-1.82390874094432;4;0
"S098";-1.82390874094432;2;1
"S103";-1.82390874094432;3;0
"S111";-1.82390874094432;1;0
"S167";-1.82390874094432;2;0
"S180";-1.82390874094432;1;1
"S114";-1.82390874094432;4;0
"S031";-1.82390874094432;2;1
"S082";-1.82390874094432;6;1
"S151";-1.82390874094432;2;1
"S157";-1.82390874094432;2;1
